Term,Document Frequency,Postings Lists
أبحاث,7,1 - 2 - 3 - 4 - 6 - 14 - 16
أبرز,1,10
أبرزها,1,11
أبسط,3,3 - 4 - 18
أبعد,1,8
أبل,1,20
أبلغ,1,11
أبلغت,1,5
أبهر,1,7
أتمتة,8,5 - 6 - 9 - 10 - 11 - 16 - 19 - 20
أتيح,1,6
أثبتت,1,21
أثر,1,4
أثيرت,1,12
أجرى,2,3 - 7
أجريت,3,4 - 12 - 13
أجزاء,2,6 - 13
أجهزة,7,1 - 3 - 6 - 8 - 16 - 17 - 21
أحجامها,1,12
أحدث,2,17 - 20
أحرزه,1,7
أحسن,2,1 - 3
أحكام,3,1 - 3 - 20
أحوال,1,4
أحيا,1,3
أحيانا,1,4
أخالقيات,1,4
أخذت,1,8
أخرى,7,2 - 3 - 4 - 6 - 17 - 19 - 20
أخطاء,1,6
أخطاءه,1,21
أخطائها,1,16
أخلاقي,1,15
أخلاقيات,2,15 - 20
أخلاقية,1,15
أخيرا,4,14 - 15 - 18 - 20
أداء,7,4 - 5 - 6 - 8 - 10 - 14 - 17
أداءه,1,17
أدائها,2,2 - 5
أداة,2,4 - 20
أدت,2,1 - 3
أدخله,1,4
أدركنا,1,8
أدناه,3,1 - 3 - 4
أدناه26,1,2
أدنبرة,1,3
أدنى,1,12
أدهشت,1,2
أدوات,9,2 - 3 - 4 - 10 - 11 - 12 - 15 - 19 - 20
أدواته,1,10
أدوار,1,10
أدى,3,4 - 6 - 21
أذكى,2,3 - 17
أراد,1,14
أرباح,1,2
أرباحها,1,10
أرجح,1,13
أرجله,1,17
أردنا,1,15
أرض,1,21
أرقام,2,4 - 21
أسئلة,4,12 - 17 - 19 - 21
أساس,5,2 - 3 - 4 - 14 - 16
أساسا,2,17 - 19
أساسي,2,8 - 10
أساسيا,3,2 - 4 - 21
أساسيات,1,5
أساسية,2,4 - 18
أساليب,1,4
أسباب,1,20
أسبقية,1,10
أسرارهاويصف,1,12
أسرع,6,6 - 7 - 8 - 9 - 15 - 18
أسس,1,2
أسطورية,1,2
أسفل,1,3
أسلوب,1,20
أسلوبها,1,3
أسوأ,2,4 - 16
أشا1ر,1,9
أشار,3,10 - 11 - 14
أشباه,1,4
أشخاص,1,20
أشد,1,21
أشكال,3,4 - 12 - 13
أشكالها,1,3
أشهر,2,12 - 20
أشياء,3,1 - 3 - 8
أصالة,1,13
أصبحا,1,16
أصبحت,7,2 - 3 - 6 - 14 - 16 - 18 - 21
أصحاب,2,7 - 11
أصحابها,1,17
أصداء,1,12
أصدرت,2,15 - 21
أصعب,5,1 - 2 - 3 - 4 - 17
أصلحها,1,17
أصلية,1,6
أطروحة,1,2
أطروحته,1,4
أطفال,1,4
أطلق,1,3
أطول,1,2
أظن,1,21
أظهرت,3,6 - 9 - 21
أعاد,1,17
أعاله,2,1 - 3
أعباء,1,6
أعداد,2,10 - 20
أعصابك,1,18
أعقابه,1,15
أعلن,1,17
أعلى,6,3 - 7 - 9 - 10 - 17 - 20
أعم,1,4
أعمارهم,1,13
أعمال,1,20
أعمالك,1,5
أعمالهم,2,1 - 3
أعمق,1,13
أعمى,1,4
أعوام,1,10
أفاد,3,5 - 10 - 12
أفادوا,1,10
أفريقيا,1,15
أفسح,1,17
أفضل,9,3 - 4 - 6 - 10 - 14 - 15 - 17 - 18 - 19
أفضلية,1,10
أفقنا,1,15
أفكارك,1,18
أفلام,1,18
أقدمها,1,4
أقرب,1,4
أقسام,1,2
أقصى,1,8
أقليات,1,12
أكبر,12,1 - 2 - 3 - 5 - 7 - 9 - 10 - 11 - 14 - 17 - 19 - 21
أكد,2,14 - 17
أكسفورد,1,3
أكمل,1,15
أكواد,1,16
أكيدة,1,4
ألبحاث,3,1 - 3 - 6
ألجهزة,1,6
ألداء,2,4 - 5
ألدوس,1,4
ألفابيت,1,20
ألفكار,1,2
ألقرب,1,4
ألقينا,1,9
ألمانيا,1,19
ألن,1,7
ألنظمة,1,8
ألنه,3,1 - 3 - 8
ألنها,1,3
ألوائل,1,3
ألوانه,1,4
ألول,2,4 - 6
ألي,1,5
أليكسا,1,16
ألين,1,2
أمازون,1,16
أماكن,2,4 - 21
أمامه,1,20
أمامها,1,7
أمامي,1,4
أمان,2,7 - 16
أمثلة,3,4 - 8 - 16
أمر,4,15 - 18 - 20 - 21
أمراضهم,1,21
أمن,1,20
أمنها,1,21
أنجاز,1,4
أنحاء,4,2 - 7 - 13 - 16
أندرسون,1,14
أندرياس,1,2
أندريه,1,4
أنشطته,1,13
أنطولوجيات,2,1 - 3
أنطولوجية,2,1 - 3
أنطولوجيته,2,1 - 3
أنظار,1,21
أنظمة,10,3 - 5 - 6 - 8 - 13 - 14 - 17 - 18 - 19 - 21
أنفسهم,1,19
أنك,1,18
أنماط,4,1 - 3 - 5 - 19
أننا,3,7 - 14 - 21
أنه,13,1 - 2 - 3 - 4 - 5 - 8 - 13 - 14 - 15 - 16 - 17 - 20 - 21
أنها,11,2 - 3 - 10 - 11 - 12 - 14 - 16 - 17 - 18 - 20 - 21
أنهما,1,16
أنواع,3,4 - 17 - 18
أهداف,4,2 - 6 - 13 - 15
أهدافه,1,8
أهم,4,1 - 2 - 18 - 21
أهمية,5,1 - 3 - 17 - 20 - 21
أوgofai,1,3
أوائل,4,2 - 6 - 12 - 17
أواخر,2,4 - 17
أوباما,1,21
أوبير,1,2
أوجه,2,3 - 20
أوراق,1,20
أوروبا,1,3
أوساط,2,19 - 20
أوسع,3,9 - 13 - 17
أوضح,2,10 - 11
أوفيس,1,20
أوقات,1,20
أولا,1,9
أولويات,1,15
أولوية,3,1 - 3 - 5
أولى,1,10
أيام,1,6
أيده,1,16
أيكن,1,4
أيمكن,1,4
إ,1,5
إال,2,2 - 8
إبداع,1,21
إبداعا,1,21
إبداعية,3,1 - 3 - 20
إتقان,1,18
إتنجرettinger,1,4
إثبات,1,2
إجابات,3,12 - 16 - 19
إجابة,1,3
إجادة,1,13
إجراء,4,4 - 8 - 16 - 17
إجراءات,2,10 - 11
إجراؤه,1,1
إجرائيا,1,4
إجمالي,1,19
إحالل,1,7
إحصائي,1,4
إدارة,3,9 - 10 - 21
إدخاالت,1,5
إدراك,4,2 - 3 - 8 - 14
إدماج,1,7
إدوارد,2,3 - 4
إذاq,1,4
إرساء,1,10
إرهابية,1,21
إشارات,1,11
إشراف,3,1 - 3 - 4
إشكاليات,1,21
إشكالية,1,14
إصدار,1,13
إصرار,1,21
إصلاح,1,17
إضافة,5,1 - 5 - 9 - 10 - 11
إضافية,2,2 - 11
إطار,2,3 - 15
إطلاق,2,13 - 21
إظهار,1,18
إعادة,4,2 - 3 - 4 - 19
إعلان,1,13
إقامة,1,15
إكمال,1,20
إكمالها,1,20
إلجراء,1,6
إلعادة,2,4 - 7
إلكتروني,2,20 - 21
إلمكانياته,1,8
إلنشاء,1,5
إلهاما,1,3
إليجاد,1,4
إليه,6,4 - 7 - 13 - 14 - 16 - 21
إليها,6,4 - 10 - 12 - 13 - 17 - 20
إم,2,12 - 13
إمكانات,2,6 - 19
إمكاناته,2,7 - 8
إمكانيات,1,19
إمكانية,4,3 - 6 - 16 - 21
إنتاج,2,3 - 16
إنتاجية,2,2 - 7
إنتاجيتها,1,7
إنتاجيتهم,1,7
إنتل,1,20
إنذار,1,7
إنسان,5,4 - 5 - 16 - 17 - 20
إنسانا,1,12
إنساني,1,15
إنسانية,3,1 - 3 - 4
إنشاء,10,3 - 5 - 6 - 8 - 10 - 12 - 14 - 16 - 17 - 21
إنشاؤه,1,16
إنفاق,2,5 - 10
إنفيديا,1,20
إنكلترا15,1,3
إنها,1,13
إنهم,2,11 - 18
إيجابيات,1,19
إيجابية,1,19
إيجاد,5,1 - 3 - 15 - 20 - 21
إيدج,1,20
إيران,1,21
إيقاف,1,21
اآلالت,6,1 - 2 - 3 - 4 - 6 - 8
اآلتية,2,2 - 4
اآلخذ,1,4
اآلخر,2,1 - 7
اآلخر49,1,3
اآلخر83,1,3
اآلخران,1,8
اآلخرين,2,1 - 3
اآلراء,2,2 - 3
اآللة,5,1 - 2 - 3 - 4 - 6
اآللهة,1,4
اآللي,4,2 - 3 - 4 - 5
اآللي134,1,4
اآللية,3,1 - 3 - 4
اآللية62,1,3
اآلمال,1,4
اآلن,4,3 - 4 - 6 - 7
األ,1,1
األبحاث,2,2 - 3
األتمتة,1,7
األجهزة,1,3
األجور,1,7
األحداث,1,4
األحوال,2,1 - 3
األحياء,1,1
األحيان,1,4
األخالقية,2,4 - 8
األخرى,2,2 - 4
األخيرة,1,3
األداء,2,4 - 6
األدوات,4,3 - 4 - 6 - 8
األذكياء,1,2
األرباح,1,5
األربعينيات,1,3
األرقى,2,1 - 3
األسئلة,1,2
األساس,1,8
األساسية,4,3 - 4 - 5 - 6
األساسية158,1,4
األسباب,1,3
األسبوع,1,6
األسطورة,2,4 - 8
األسعار,1,5
األسهم,1,4
األسواق,1,7
األشخاص,1,1
األشعة,1,5
األشياء,4,1 - 3 - 4 - 7
األشياء13,1,2
األشياء69,1,3
األصغر,1,7
األصلح,1,4
األصوات,1,4
األطر,1,4
األطراف,1,4
األطروحة,1,2
األعصاب,2,2 - 3
األعلى,1,7
األعمال,5,4 - 5 - 6 - 7 - 8
األفضل,1,4
األفكار,1,4
األقل,4,1 - 3 - 5 - 7
األكاديمية,1,4
األكبر,1,7
األكثر,3,1 - 3 - 8
األلغاز,2,1 - 3
األمثل,1,4
األمثلة,3,1 - 3 - 4
األمر,2,5 - 7
األمريكية,1,2
األمور,2,1 - 3
األنطولوجية,2,1 - 3
األنظمة,3,3 - 4 - 8
األنماط,5,3 - 4 - 5 - 6 - 8
األنواع,1,8
األهداف,4,1 - 2 - 3 - 4
األوائل,2,1 - 3
األولى,1,4
األولي,1,4
األولي108,1,4
األولية,1,4
األيدي,1,7
اإلبداع,2,1 - 3
اإلبداععدل,1,3
اإلجابات,2,2 - 6
اإلجراء,1,4
اإلجراءات,2,4 - 8
اإلجرائية,1,4
اإلحصاءات,1,5
اإلحصائية,1,4
اإلحصائيعدل,2,3 - 4
اإلدارة,1,3
اإلدراك,2,1 - 3
اإلدراكعدل,1,3
اإلسكندرية,1,4
اإلشراف,2,1 - 3
اإللكترونية,1,3
اإلمكانات,2,7 - 8
اإلنتاجية,1,7
اإلنترنت,5,1 - 3 - 4 - 5 - 8
اإلنجليزي,1,2
اإلنجليزية17,1,2
اإلنسان,7,1 - 2 - 3 - 4 - 6 - 7 - 8
اإلنسان18,1,2
اإلنسان72,1,3
اإلنساني,1,4
اإلنسانية,2,4 - 7
اإلنسانية15,1,2
اإلنشاء,1,8
اإليجاب,1,4
ائتمانية,1,20
االبتكار,3,5 - 6 - 8
االتجاهات,1,6
االتفاق,1,3
االثنان,1,8
االجتماعي,2,1 - 3
االجتماعية,3,1 - 3 - 7
االجتماعيعدل,1,3
االحتماالت,1,4
االحتمال,1,4
االحتمالية,3,1 - 3 - 4
االحتيال,1,6
االختبارات,1,4
االختيار,3,1 - 3 - 4
االستثناءات,2,1 - 3
االستجابات,2,1 - 3
االستجابة,3,1 - 3 - 6
االستجابية,1,3
االستدالل,1,4
االستدالل93,1,4
االستداللية,1,4
االسترجاع,1,4
االستشعار,3,1 - 3 - 6
االستفادة,1,7
االستفسارات,1,4
االستقرائي,1,4
االستكشافية,1,2
االستمثال,1,4
االستنتاج,2,1 - 3
االستنتاجات,2,1 - 3
االستهالكية109,1,4
االسم,1,4
االصطناع,1,1
االصطناعى,1,3
االصطناعي,8,1 - 2 - 3 - 4 - 5 - 6 - 7 - 8
االصطناعي10,1,4
االصطناعي142,1,4
االصطناعي22,1,3
االصطناعي39,1,3
االصطناعي71,1,3
االصطناعي76,1,3
االصطناعي84,1,3
االصطناعية,1,4
االصطناعيعدل,2,3 - 4
االعتقاد,1,4
االعتماد,1,5
االفتراضي,3,1 - 3 - 4
االفتراضية,1,4
االفتراضية116,1,4
االقتراحي,1,4
االقتصاد,3,3 - 4 - 7
االقتصادات,1,7
االكتشافات,1,2
االكتمال,1,2
االلتزام,1,2
االنتشار,1,4
االنتهاء,1,5
االهتمام,2,1 - 3
االهتمام13,1,3
ابتداء,2,4 - 15
ابتكار,1,13
ابتكارها,1,18
ابتكرها,1,12
اتباع,2,10 - 15
اتباعها,1,16
اتجاه,1,7
اتخاذ,3,6 - 8 - 16
اتساع,2,1 - 3
اتساق,2,1 - 3
اتضح,1,14
اتضحت,1,14
اتهام,1,20
اثنتين,1,17
اجتماع,1,18
اجتماعات,1,3
اجتماعي,2,7 - 19
اجتماعية,2,3 - 12
اجتياز,1,17
احتمال,2,13 - 14
احتمالية,1,21
احتياجات,2,8 - 21
احتياجاته,1,19
احتياجاتها,1,18
احتياجاتهم,1,19
اختالفات,1,2
اختبار,5,2 - 4 - 10 - 17 - 18
اختبارات,1,4
اختراع,2,2 - 17
اختراق,1,17
اختزل,1,4
اختصارا,1,18
اختلافها,1,21
اختلف,1,3
اختلفات,1,5
اختيار,2,16 - 20
اد,1,2
ارتفاع,4,7 - 8 - 10 - 21
ارتفع,2,11 - 19
ازداد,1,9
ازدادت,1,14
ازدياد,1,11
اساسي,2,19 - 20
اساسيا,1,19
استباقي,1,7
استبدال,2,20 - 21
استبدالها,3,8 - 19 - 20
استبعاد,1,12
استثمارات,4,9 - 10 - 11 - 21
استثماراتها,1,10
استثمرت,1,20
استثنائية,1,13
استجاباتنا,1,15
استجابة,2,12 - 14
استخدام,15,1 - 3 - 4 - 5 - 6 - 8 - 9 - 10 - 13 - 15 - 16 - 17 - 19 - 20 - 21
استخداما,2,4 - 19
استخدامات,1,20
استخداماتها,1,19
استخدامه,2,15 - 20
استخدامها,2,4 - 20
استخدامهما,1,8
استخدم,1,4
استخدمها,2,6 - 18
استراتيجيات,1,11
استراتيجية,2,10 - 15
استرجاع,2,1 - 3
استسلام,1,14
استطاع,1,21
استطاعتها,1,21
استطلع,1,5
استفدنا,1,20
استقالته,1,16
استقبال,1,19
استقراء,1,8
استقرار,2,9 - 16
استقطاب,1,11
استقطابا,1,7
استكشاف,3,2 - 3 - 6
استكشف,1,11
استكمال,1,19
استلهام,1,13
استماع,1,19
استمر,1,18
استمرار,1,14
استمرت,1,12
استنا,1,5
استنادا,1,5
استنتاج,1,19
استنتاجه,1,2
استهداف,1,21
استوديوهات,1,20
استيعاب,2,3 - 10
اسم,3,3 - 10 - 18
اسمه,1,17
اشتراك,1,20
اشتقاق,1,18
اشرة,1,3
اصطناعي,5,3 - 5 - 13 - 17 - 18
اصطناعيا,1,4
اصطناعية,3,4 - 13 - 17
اضطرابات,1,7
اعتبار,1,4
اعتبرت,1,4
اعتقاد,1,13
اعتماد,3,9 - 10 - 11
اعتمادا,2,14 - 18
اعتمادها,4,9 - 11 - 20 - 21
اعتمدت,1,12
اعتمدوا,1,21
افاق,1,19
افتراض,1,2
افتراضات,3,1 - 3 - 4
افتراضي,1,21
اقتراح,1,6
اقتراحا,1,3
اقترح,3,4 - 17 - 18
اقترحها,1,4
اقتصادات,1,7
اكتساب,3,15 - 19 - 20
اكتشاف,4,1 - 3 - 6 - 16
اكتشف,2,4 - 5
ال,7,1 - 2 - 3 - 4 - 5 - 7 - 8
الآثار,2,15 - 21
الآخر,1,20
الآراء,1,15
الآلات,5,16 - 18 - 19 - 20 - 21
الآلة,6,11 - 12 - 17 - 18 - 20 - 21
الآلي,4,11 - 12 - 18 - 19
الآلية,2,12 - 13
الآمال,1,18
الأتمتة,1,19
الأجل,1,21
الأجهزة,3,12 - 18 - 20
الأجوبة,1,19
الأحداث,1,18
الأحيان,2,11 - 16
الأخرى,8,9 - 10 - 11 - 12 - 13 - 17 - 18 - 20
الأخرىأفاد,1,11
الأخطاء,3,10 - 17 - 21
الأخطار,1,21
الأخلاقيات,1,15
الأخلاقية,3,13 - 15 - 21
الأخيرة,2,14 - 21
الأداء,4,9 - 10 - 11 - 20
الأدوات,2,10 - 15
الأدوار,1,11
الأذكياء,1,17
الأذى,1,20
الأرباح,2,9 - 10
الأربعة,1,18
الأرواح,1,21
الأسئلة,5,15 - 16 - 18 - 19 - 20
الأساس,2,19 - 21
الأساسي,1,17
الأساسية,6,10 - 13 - 15 - 18 - 19 - 21
الأسترالي,1,17
الأسرار,1,13
الأسس,1,19
الأسلاك,1,12
الأسلحة,1,21
الأسهم,2,13 - 20
الأسواق,1,9
الأشخاص,1,13
الأشهر,1,16
الأشياء,4,13 - 14 - 17 - 19
الأصل,1,14
الأطباء,1,16
الأطراف,1,19
الأعضاء,1,15
الأعلى,2,9 - 11
الأعماق,2,13 - 14
الأعمال,2,16 - 17
الأعوام,1,10
الأغلب,1,18
الأفراد,2,15 - 21
الأفضل,1,21
الأقران,1,11
الأقسام,1,11
الأقل,4,9 - 10 - 12 - 14
الأقليات,2,11 - 12
الأكبر,4,9 - 10 - 11 - 13
الأكثر,4,11 - 18 - 19 - 21
الأكفاء,1,19
الألعاب,3,13 - 14 - 17
الألغام,1,17
الألفية,1,21
الأليفة,1,17
الأماكن,1,21
الأمثل,1,14
الأمثلة,4,17 - 18 - 19 - 20
الأمد,1,10
الأمر,7,12 - 13 - 14 - 15 - 17 - 20 - 21
الأمراض,1,20
الأمريكي,1,21
الأمريكية,1,21
الأمم,1,15
الأمن,1,15
الأمور,1,16
الأنثروبولوجي,1,15
الأنثى,1,17
الأنظار,1,17
الأنظمة,5,12 - 13 - 14 - 17 - 21
الأنماط,2,13 - 16
الأنواع,1,18
الأهمية,1,13
الأوراق,1,19
الأوروبي,3,13 - 16 - 20
الأوساط,1,21
الأول,5,15 - 17 - 18 - 19 - 21
الأولى,4,9 - 12 - 14 - 18
الأيام,1,17
الإبداع,2,17 - 21
الإبداعي,1,21
الإجابة,3,12 - 16 - 19
الإجمالي,1,12
الإجمالية,1,16
الإحصائية,1,20
الإداري,1,19
الإدارية,2,16 - 19
الإدراك,1,20
الإدراكية,1,20
الإرشادات,1,18
الإشارات,1,12
الإشارة,1,21
الإشراف,1,11
الإشكاليات,1,21
الإشكالية,2,19 - 20
الإضافية,1,19
الإطار,1,19
الإطلاق,1,18
الإعلامية,1,14
الإعلان,1,15
الإقليمي,1,11
الإلكتروني,2,16 - 18
الإلكترونية,4,12 - 17 - 20 - 21
الإمكانات,2,11 - 19
الإمكانيات,1,19
الإناث,1,17
الإنترنت,3,11 - 19 - 21
الإنجاز,1,18
الإنجليزية,1,21
الإنسان,8,13 - 14 - 15 - 16 - 17 - 19 - 20 - 21
الإنسانية,1,15
الإنفاق,1,10
الإيجابية,1,10
الإيرادات,2,9 - 10
الابتكار,2,15 - 20
الابتكارات,1,20
الاتحاد,3,13 - 16 - 20
الاتصال,1,18
الاتصالات,4,15 - 19 - 20 - 21
الاتي,1,19
الاجتماع,2,14 - 18
الاجتماعي,5,12 - 17 - 19 - 20 - 21
الاجتماعية,5,15 - 16 - 17 - 19 - 20
الاحتياجات,1,19
الاختبار,2,11 - 17
الاختبارات,1,19
الاختراع,1,13
الاختيار,1,15
الارتباط,1,19
الارشاد,2,19 - 20
الازدحام,2,17 - 18
الاساسية,2,19 - 20
الاستبيان,3,10 - 11 - 12
الاستثمار,4,10 - 11 - 16 - 19
الاستثمارية,2,20 - 21
الاستجابة,1,14
الاستخدام,3,15 - 19 - 20
الاستخدامات,1,20
الاستراتيجيات,1,10
الاستراتيجية,2,11 - 21
الاستشارية,1,15
الاستشعار,1,17
الاستفادة,1,19
الاستفسارات,1,19
الاستمرار,1,18
الاصطناعي,13,9 - 10 - 11 - 12 - 13 - 14 - 15 - 16 - 17 - 18 - 19 - 20 - 21
الاصطناعية,4,12 - 14 - 17 - 20
الاضطراب,1,15
الاعتماد,2,10 - 11
الاعتناء,1,17
الاعمال,1,19
الافتراضات,1,18
الاقتراب,2,13 - 14
الاقتصادية,1,19
الالزم,2,1 - 3
الالزمة,2,7 - 8
الامتحانات,1,19
الانتخابات,1,16
الانترنت,1,13
الانتشار,2,9 - 12
الانتقاء,1,15
الانتقال,1,15
الانسان,1,19
الانفجار,1,19
الاهتمام,1,21
الباحثة,1,14
الباحثون,4,1 - 2 - 3 - 18
الباحثين,4,1 - 2 - 3 - 15
البارزة,1,14
البارزين,1,16
البالغة,1,9
الباهضة,1,21
البحث,10,1 - 3 - 4 - 8 - 9 - 13 - 14 - 18 - 19 - 21
البحثي,2,3 - 18
البحثية,2,6 - 21
البحري,1,20
البحوث,7,1 - 2 - 3 - 4 - 6 - 7 - 15
البدء,1,5
البدائي,1,3
البداية,3,1 - 6 - 14
البداية59,1,3
البرامج,6,1 - 3 - 4 - 6 - 17 - 20
البرمجة,6,2 - 3 - 4 - 10 - 18 - 20
البرمجيات,2,11 - 21
البرمجية,2,16 - 20
البرنامج,2,4 - 14
البرولوج,1,4
البرولوجprolog,1,4
البريدية,1,12
البريطاني,1,17
البسيط,1,4
البسيطة,3,3 - 18 - 20
البشر,10,1 - 3 - 4 - 5 - 8 - 16 - 17 - 18 - 20 - 21
البشري,15,2 - 3 - 4 - 6 - 7 - 8 - 12 - 13 - 14 - 15 - 17 - 18 - 19 - 20 - 21
البشريبحاجة,1,2
البشرية,13,1 - 2 - 3 - 4 - 5 - 6 - 8 - 13 - 14 - 16 - 17 - 18 - 21
البشرية14,1,3
البشريين,2,2 - 17
البصري,2,1 - 3
البطالة,1,21
البعد,1,21
البعض,6,1 - 2 - 3 - 4 - 16 - 21
البعيد,2,19 - 20
البلدان,2,7 - 15
البنائية,1,4
البنوك,1,21
